МО;№п.п;Управляющая компания / ТСЖ / ЖСК;штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;Сумма штрафов (руб);Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;"устные 
замечания ";прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов 
(руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;устные замечания ;"Координаты объекта 
с точностью до 13 знака, lat";"Координаты объекта 
с точностью до 13 знака, Ing"
;11;ОАО «ДК Железнодорожного района»;10;400 000;;;25;4;20000;;;;1;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.2505767233731;48.3293407224119
;12;ген.директор Гурьянов Н.А.;2;8000;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.2505767233731;48.3293407224119
;13;ОАО «ДК Заволжского района»;9;360000;;;10;1;5000;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.33970434952303;48.548012673854856
;14;ген.директор Сидоранова Н.Г.;2;8 000;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.33970434952303;48.548012673854856
;15;"ЖСК ""Кристалл""";;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.284273235467545;48.28590486198665
;16;председатель Кильпинова Л.М.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.284273235467545;48.28590486198665
;17;ООО «УК Жилстройсервис»;1;40 000;;;2;4;20 000;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.36688781218562 ;48.57726518064741
;18;директор А.Н. Болотов;1;4 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.36688781218562 ;48.57726518064741
;19;ЖСК «Венера»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.28404547951791;48.288032021373546
;20;председатель Осипова Т.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.28404547951791;48.288032021373546
