Рег. номер маршрута  ;порядковый номер маршрута;наименование маршрута ;наименования промежуточных остановочных пунктов по маршруту регулярных перевозок или наименования поселений, в границах которых расположены промежуточные остановочные пункты ; наименования улиц, автомобильных дорог, по которым предполагается движение транспортных средств между остановочными пунктами по маршруту регулярных перевозок;протяженность маршрута регулярных перевозок, км; порядок посадки и высадки пассажиров (только в установленных остановочных пунктах или, если это не запрещено настоящим Федеральным законом, в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок) ; вид регулярных перевозок (по регулируемым тарифам или по нерегулируемым тарифам);Вид;Класс;Максимальное количество;Экологические характеристики;дата начала осуществления регулярных перевозок ;наименование юридического лица, фамилия, имя и, если имеется, отчество индивидуального предпринимателя;место нахождения ;
1;201;Вологда – Хорошево;Льнокомбинат, Горка, Телецентр, Лоста, Л. Карьер, Огарково, отв. Грибково, Кичигино, Марково, Чернецкое, р. Стеблево, жд.п. Стеблево, Лухта, р. Комья;г. Вологда (ул. Зосимовская, ул. Чехова, ул. Яшина, ул. Герцена, ул. Можайского, Московское шоссе)  АД Вологда-Ростилово ;36;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;20.11.2012;ИП Сенных Алексей Владимирович           ;г. Вологда;
2;202;Вологда – Лоста – Грязовец;Льнокомбинат Горка Телецентр Лоста Л.Карьер Огарково отв. Грибково по требованию АД Вологда-Ростилово Кичигино Марково Чернецкое р. Стеблево Становище Крутец Волоцкое Пузово Слобода Заря Камешник Мясник Пирогово;г. Вологда (ул. Зосимовская ул. Чехова ул. Яшина ул. Герцена ул. Можайского ул. Московское шоссе) АД Вологда-Ростилово г. Грязовец (пр. Ленина ул. Обнорского ул. Победы);46,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.04.2014;ИП Водомерова Наталья Сергеевна;г. Вологда;
3;202;Вологда – Лоста – Грязовец;Льнокомбинат Горка Телецентр Лоста Л.Карьер Огарково отв. Грибково по требованию  Кичигино Марково Чернецкое р. Стеблево Становище Крутец Волоцкое Пузово Слобода Заря Камешник Мясник Пирогово;г. Вологда (ул. Зосимовская ул. Чехова ул. Яшина ул. Герцена ул. Можайского ул. Московское шоссе) АД Вологда-Ростилово г. Грязовец (пр. Ленина ул. Обнорского ул. Победы);46,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.04.2014;ООО "ВологдаТранс";г. Вологда ул. Старое шоссе, д. 5;
4;201;Вологда – Хорошево;Льнокомбинат, Горка, Телецентр, Лоста, Л. Карьер, Огарково, отв. Грибково, Кичигино, Марково, Чернецкое, р. Стеблево, жд.п. Стеблево, Лухта, р. Комья;г. Вологда (ул. Зосимовская, ул. Чехова, ул. Яшина, ул. Герцена, ул. Можайского, Московское шоссе)  АД Вологда-Ростилово ;36;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.03.2014;ИП Романова Нина Анатольевна ; Вологодская область, Вологодский район ;
5;202;Вологда – Лоста – Грязовец;Льнокомбинат, Горка, Телецентр, Лоста, Л. Карьер, Огарково, о. Грибково, о. Васильевское,  Кичигино, Марково, Чернецкое, Стеблево, Становищево,  Крутец, Волоцкое, Пузово, Слобода, Заря,  Камешник, Мясниково, Пирогово;г. Вологда (ул. Зосимовская, ул. Чехова, ул. Яшина, ул. Герцена, ул. Можайского, Московское шоссе);46,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.04.2014;ИП Романова Нина Анатольевна ; Вологодская область, Вологодский район;
6;203;Вологда – Осаново – Грязовец;Беляева Архангельская Дачи отв. Надеево Кожино Костино Дуравино Чекменево Селезенцево д. Автомобилист - 1 д. Автомобилист-2 Неверовское Михалево Палкино Дьяконово р. Стеблево  с.Становище Крутец Волоцкое Пузово Слобода Заря Камешник Мясник Пирогово ;г. Вологда (ул. Зосимовская ул. Чеховва ул. Яшина ул. Герцена ул. Конева)  АД М8 АД Криводино-Шуйское АД Вологда-Ростилово г. Грязовец (пр. Ленина ул. Обнорского ул. Победы);51.0;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.04.2014;ИП Водомерова Наталья Сергеевна;г. Вологда;
7;203;Вологда – Осаново – Грязовец;Беляева Архангельская Дачи отв. Надеево Кожино Костино Дуравино Чекменево Селезенцево д. Автомобилист - 1 д. Автомобилист-2 Неверовское Михалево Палкино Дьяконово р. Стеблево  с.Становище Крутец Волоцкое Пузово Слобода Заря Камешник Мясник Пирогово ;г. Вологда (ул. Зосимовская ул. Чеховва ул. Яшина ул. Герцена ул. Конева)  АД М8 АД Криводино-Шуйское АД Вологда-Ростилово г. Грязовец (пр. Ленина ул. Обнорского ул. Победы);51.1;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.04.2014;ИП Романова Нина Анатольевна;Вологодская область, Вологодский район;
8;204;Вологда – Кадников;Центр Гоголя Заречье Рыбкино Дорожный Маега Фофанцево Шульгино Северово Оларево Барское 1 Развилка Литега отв. Сокол ;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. С.Орлова ул. Чернышевского ул. Железнодорожная ул. Рыбкино) АД М8 г. Кадников ул. Розы Люксембург;45;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ИП Зенькович Евгений Владиславович;г.Вологда;
9;206;Вологда – Минькино;РСМ, Пригородный, Абрамцево, Непотягово, Можайское,  Пруд, Нагорное, Токарево, Дюково, Перьево, Подгорное, Красково;г. Вологда (пл. Бабушкина путепровод Пошехонское шоссе)  АД Вологда Норобово ;30,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;15.07.2013;ИП Кольцов Григорий Васильевич; г.Вологда;
10;207;Вологда – Панфилово;Беляева ул. Архангельская Дачи отв. Надеево Кожино Костино Дуравино Чекменево Селезенцево д.Автомобилист-1 д.Автомобилист-2 Неверовское Михалево п/л Солнечный Санниково Троицкое Акинфовица Юрово Криводино Коротыгино Панфилово;г. Вологда (ул. Зосимовская ул. Чехова ул. Яшина ул. Конева) АД М8 АД Криводино-Шуйское АД Юрово-Панфилово;46;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ИП Зенькович Евгений Владиславович;г. Вологда;
11;208;Сокол – Литега – Вологда;Махреньга,Лентьево, Ершово,Рабанга,Развилка (сев.подъезд), Литега, Развилка (южн.подъезд), Барское, Шастово, Оларёво, Северово, Шульгино, Фофанцево, Маега, Дорожный, Прилуки; г. Сокол (Базарная площадь-ул. Горького ул. Железнодорожная ул.Бумажников ул. Пл.Свободы ул. Ленинградская) АД подъезд к г. Соколу (северный) АД М8 г. Вологда (ул.Чернышевского-Октябрьский мост ул. С.Орлова ул. Мира пл. Бабушкина);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.02.2014;ООО «Сокольское ПАТП» ; Вологодская область,  город  Сокол, Станционный переулок, д.32;
12;208;Вологда – Литега – Сокол;АВ Вологда, центр, Рыбкино, Дорожный, Маега, Фофанцево, Шульгино, Северово, Оларево, Барское, Бабино, Литега, отв Сокол, Рабанга, Ершово, Лентьево, Махреньга, АС г. Сокол;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М.Ульяновой ул. С. Орлова, ул. Чернышевского) АД М-8  АД подъезд к г. Соколу (севнрный) г. Сокол (ул. Ленинградская  пл. Свободы  ул. Бумажников ул. Железнодорожная  ул Горького Базарная пл);42,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.04.2014;ИП Алферьева Любовь Валентиновна ; г. Вологда;
13;209;Сокол – Сухона – Вологда ;Лесобаза, Школа № 10, Соколстром, Развилка (южн.подъезд), Барское, Шастово, Оларёво, Северово, Шульгино, Фофанцево, Маега, Дорожный, Прилуки; г. Сокол (40 лет Октября  ул. Советская  ул. Калинина)  АД подъезд к г. Сокол (южн.подъезд) АД М8 г. Вологда (ул.Чернышевского Октябрьский мост ул. С.Орлова  ул. Мира пл. Бабушкина);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.02.2014;ООО «Сокольское ПАТП» ; Вологодская область,  город  Сокол, Станционный переулок, д.32;
14;209;Вологда – Сухона – Сокол ;Рыбкино, Дорожный, Маега, Фофанцево, Шульгино, Северово, Оларево, Барское, Развилка 1, Соколстром (КДТ), Школа, Лесобаза;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М. Ульяновой, пл. Революции, ул. Лермонтова, ул. Чернышевского), АД М--8 АД подъезд к г. Сокол (южный) г. Сокол (ул. Калинина ул. Советская 40 лет Октября);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;4;0 - 5;01.04.2014;ИП Романова Нина Анатольевна; Вологодская область, Вологодский район ;
15;209;Вологда – Сухона – Сокол ;Рыбкино, Дорожный, Маега, Фофанцево, Шульгино, Северово, Оларево, Барское, Развилка 1, Соколстром (КДТ), Школа, Лесобаза;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М. Ульяновой, пл. Революции, ул. Лермонтова, ул. Чернышевского), АД М--8 АД подъезд к г. Сокол (южный) г. Сокол (ул. Калинина ул. Советская 40 лет Октября);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.04.2014;ИП Войко Лариса Викторовна;г. Вологда;
16;209;Вологда – Сухона – Сокол ;Рыбкино, Дорожный, Маега, Фофанцево, Шульгино, Северово, Оларево, Барское, Развилка 1, Соколстром (КДТ), Школа, Лесобаза;г. Вологда (ул. Зосимовская, ул. Герцена, ул. М. Ульяновой, пл. Революции, ул. Лермонтова, ул. Чернышевского), АД М--8 АД подъезд к г. Сокол (южный) г. Сокол (ул. Калинина ул. Советская 40 лет Октября);42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;13.04.2011;ИП Водомерова Наталья Сергеевна;г. Вологда;
17;210;Вологда – Юрово;Беляева ул. Можайского Дачи отв. Надеево Кожино Костино Дуравино Чекменево Селезенцево д.Автомобилист-1 д.Автомобилист-2 Неверовское Михалево п/л Солнечный Санниково троицкое Акинфовица Юрово;г. Вологда (ул. Зосимовская ул. Чехова ул. Яшина ул. Конева) АД М8 АД Криводино-Шуйское;38,9;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ИП Зенькович Евгений Владиславович ;г. Вологда;
18;211;Кадуй – Череповец;Рукавицкая Волоцкая Заозерье Комариха Кривец Владимировка р. Суда р. Шулма Нелазское Шухободь Развязка Кошта;г. Кадуй ( ул. Советская ул. Западная) АД подъезд к г. Кадуй АД А 114  г. Череповец (Кирилловское шоссе ул. Школьная ул. Добролюбова ул. Комсомольская ул. М.Горького) ;56,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.01.2014;МУП «Пассажирские автоперевозки» ;Вологодская область, п. Кадуй, ул. Вокзальная, д. 1;
19;211;Череповец – Кадуй;Кошта  Развязка Шухободь Нелазское Развязка Шулма развязка Суда  Владимировка  Кривец  Комариха  Заозерье  Волоцкая  Рукавицкая ;г. Череповец (ул.М.Горького, ул.Комсомольская ул.Добролюбова ул.Школьная  Кирилловское шоссе) АД А-114 АД подъезд к пос.Кадуй  г. Кадкй (ул.Западная ул.Советская) ;56,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;3;0 - 5;01.01.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
20;212;Череповец – Хохлово ;Тоншалово Нелазское развязка Суда  Межное  Владимировка Развязка Хохлово ;г. Череповец (ул.М.Горького ул.Комсомольская  ул.Добролюбова  ул.Школьная  Кирилловское шоссе) АД А-114 АД  подъезд к пос.Хохлово ;42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С;3;0 - 5;01.02.2014;ИП Ермаков Евгений Анатольевич;г. Череповец;
21;212;Череповец – Хохлово ;Тоншалово Нелазское  развязка Суда Межное  Владимировка  Развязка Хохлово ;г. Череповец (ул.М.Горького ул.Комсомольская  ул.Добролюбова  ул.Школьная  Кирилловское шоссе) АД А-114 АД  подъезд к пос.Хохлово;42,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;3;0 - 5; 01.04.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
22;213;Череповец – Шексна;Тоншалово  отворотка Ботово Аэропорт  Лохта  Царево  Дор  Митенское  Соболево  Демидово  Дачи  Иванково ДК «Солнышко»  Дьяконовская Льнозавод  Нифантово ;г. Череповец (ул.М.Горького, ул.Комсомольская  ул.Добролюбова ул.Школьная Кирилловское шоссе АД А-114 ;52,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;2;0 - 5;01.01.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
23;214;Белозерск – Липин Бор;Росляково Глушково Чикиево Пески Ухтома;г. Белозерск (ул. Комсомольская  ул.Советский пр.) АД Череповец Белозерск Липин Бор с. Липин Бор (ул.Лесная ул.Первомайская);43;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ООО «ЗемСтрой» ; г. Череповец, ул. Остинская, 15-50;
24;214;Липин Бор – Белозерск;Ухтома Пески Чикеево Глушково Росляково;с. Липин Бор ( ул. Первомайская ул. Лесная) АД Череповец белозерск Липин Бор г. Белозерск (ул. Советский пр. ул. Комсомольская);43;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.04.2014;ООО «ЗемСтрой» ;г. Череповец, ул. Остинская, 15-50;
25;215;Череповец – Юрочкино;104 микрорайон  Ильинское  Воронино  Починок  Озеро  Бурцево  Н.Домозерово  С.Домозерово Козохта  Горка  Черново Витержево  отворотка Сурково  Сурково  Минино  Шалимово  Григорьевское  Вакарино  Панфилово  Ханево  Прокино;г. Череповец (ул.М.Горького  ул.Комсомольская  ул.Сталеваров  Октябрьский пр.  ул. Рыбинская)  АД  Сергиев Посад - Калязин - Рыбинск – Череповец АД Починок – Домозерово – Горка – Кресты – Шишовка АД Воскресенское – Архангельское – Шалимово – Сурково АД Новинка – Нестерово ;54,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С ;2;0 - 5;01.02.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
26;217;Вологда-Покровское;Вологда, Дачи Рассвет, отв. Надеево, Щекино, Надеево, Костино, Дуравино (Винниково), Елгино, Покровское ; г. Вологда (ул. Зосимовская ул. Чеховва ул. Яшина ул. Герцена ул. Конева)  АД М8 АД  Грязовец Чернецкое АД Скородумка Воздвиженское Куземкино;27;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.05.2014;ИП Румянцева Наталья Валерьевна;г. Вологда;
27;700;Биряково – Вологда;Биряково, Семеново, Завражье, Чучково, Огарово, Кувшиново, Боярское, Воробьево, Корино, Пирогово, Княжево, Глебово, Алексейцево, Воздвиженье, Б.Мурга, Кадников, Литега, Оларево, Фофанцево, Маега, Вологда ;Биряково, АД Чекшино-Тотьма-Никольск, АД М8, Вологда (ул. Железнодорожная, Чернышевского, С.Орлова, М.Ульяновой, Герцена, Зосимовская, Движенческий пер.);124,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.02.2014;ООО «Сокольское ПАТП» ;Вологодская область, г. Сокол, Станционный пер., 32;
28;701;Вологда – Бабаево; Шексна Череповец Нелазское о.Судское Хохлово Елехово Кисово Чаево Староречье Ванское Лентьево Мережа Котово Селиверстово Дубровка Папино Заборье Щепье Клавдино;г. Вологда (пл.Бабушкина, Пошехонское шоссе, ул.Петина, ул.Ленинградская, Окружное шоссе) АД А 114 п.Шексна (ул.Октябрьская,) АД А 114  г.Череповец (Кирилловское шоссе, ул.Комсомольская, ул.Вологодская, ул.Горького) АД А 114 АД Лентьево Бабаево Борисово Судское г. Бабаево (ул.Ухтомского,Привокзальная площадь);298,9;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.01.2014;ООО «ВПБА Автобус» ; г.Вологда ул.Чернышевского д.147;
29;702;Вологда – Бабушкино;Кадников Б.Мурга Воздвиженье  Алексейцево  Глебово Пирогово Корино Воробъево Огарово Чучково Завражье Семеново по требованию Биряково Тимонинская Борщевка УЖД Якуниха Погорелово -2  К. Бор Коровинская Екимиха Село Тотьма Леденьга ;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. С.Орлова ул. Чернышевского) АД М8 г. Кадников ул. Розы Люксембург АД М8 АД Чекшино Тотьма Никольск г. Тотьма (д. Савино ул. Ленина) АД Чекшино Тоьма Никольск с. им. Бабушкина (ул. Бабушкина ул. Беляева);250,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ИП Зенькович Евгений Владиславович;г.Вологда;
30;702;Бабушкино – Вологда;Леденьга Тотьма Село Екимиха Коровинская К.Бор Погорело-2 Якуниха УЖД Борщевка Тимонинская Биряково Семеново завражье Чучково огарково Воробъево Корино Пирогово Глебово Алексейцево Воздвиженье Б.Мурга Кадников;с. им. Бабушкина (ул. Беляева ул. Бабушкина) АД Чекшино-Тотьма Никольск г. Тотьма (д.Савино ул. Ленина) АД Чекшино Тотьма Никольск АД М8 г. Кадников ул. Розы Люксембург АД М 8 г. Вологда (ул. Чернышевского ул. С.Орлова ул. Мира пл. Бабушкина);250,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;12.08.2015;ИП Папылев Сергей Павлович.;Вологодская область Бабушкинский район;
31;703;Вологда – Шексна – Белозерск;отв. Кипелово, Светилово, Нестерово, Чернеево, Братково, разв. Чебсара, Слизово, Шексна, отв. Аэропорт, Воскресенское, Шабанова Гора, Аннино, Бечевинка, Кема, Новишки, Левково, Антушево, Дачи ;г. Вологда (пл. Бабушкина Пошехонское шоссе ул. Петина ул. Ленинградская Окружное шоссе) АД А114 АД Череповец Белозерск Липин Бор  г. Белозерск (ул. Красноармейская Советский проспект);214,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.04.2016;ИП Зенькович Евгений Владиславович ;г. Вологда;
32;703;Белозерск – Вологда;Дачи Ростани Ашушево Левково Перховта Новишки от.Кема от.Бечевинка Аннино Шабанова Гора от.Воскресенское от.Аэропорт Шексна р.Чебсара Нестерово Светилово от.Кипелово ул.Панкратова ул.Петина Пошехонское шоссе площадь им. Бабушкина;г. Белозерск (Советский пр. ул. Красноармейская) АД Череповец Белозерск Липин Бор АД М 8 г. Вологда (ул.Панкратова, ул.Петина, Пошехонское шоссе, площадь им. Бабушкина);214,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ООО «ЗемСтрой»;г. Череповец, ул. Остинская, 15-50;
33;705;Бережное – Вологда;Бережное Никольское Волосово Вечеслово Богослово Жуково Андреевское Н.Корень Коровино Устье В.Запань Озерки Василево Семенково Архангельское Рязанка РМЗ Сокол Развилка Литега Оларево Фофанцево Маега;с.Бережное АД подъезд к ТОО Бережное АД Устье Верхнее Раменье  с. Устье (ул.Яковлева ул.Советская  ул.Профсоюзная) АД Василево Устье АД Сокол Харовск Вожега    г.Сокол: (ул.Сельская ул.Водников  ул.Советская  ул. 40 лет Октября  ул.Базарная ул.Горького ул.Железнодорожная ул. Бумажников  ул. пл.Свободы  ул. Ленинградская) АД  подъезд к г. Соколу (северный) АД М 8 г. Вологда (ул. Чернышевского  ул. С.Орлова ул. Мира  пл. Бабушкина) ;122,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.01.2014;МУ Усть - Кубинское АТП   ;Вологодская обл.Усть-Кубинский р-он,с.Устье ул.Яковлева д.16;
34;707;Великий Устюг –  Вологда;СРЗ Горка дер. Красавино Анисимово отв.Полдарса Стрелка Вострое Леваш Бобровское Угол Матвеевская Сельменьга Дунай Городишна Звегливец отв.Нюксеница Бер.Слобода Сергиевская Пески Коченьга Михайловка Камчуга Медведево отв.Тотьма Погорелово Биряково Воробьево Кадников Сокольская развилка ;г.В.Устюг (ул. Транспортная - СРЗ -  ул.Гледенская) АД Урень-Шарья-Никольск-Котлас АД Тотьма Нюксеница В.Устюг  АД  Чекшино Тотьма Никольск АД  М8 г. Кадников ул. Розы Люксембург АД М 8 г. Вологда (ул.Чернышевского, ул. С. Орлова, ул. Лермонтова, ул.Ленина,ул.Зосимовская,Советский пр., ул.Левичева, ул.Герцена,ул.Яшина,ул.Чехова,ул.Зосимовская, пл.Бабушкина,,Пошехонское ш., ул.Ярославская, ул.Ленинградская,ул.Щетинина,ул.Лечебная);463,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.02.2014;ЗАО «Великоустюгское ПАТП» ;Вологодская область Великоустюгский район г. Великий Устюг, ул. Транспортная, д. 4,;
35;707;Вологда – Великий Устюг;Воробьево, Царёво, Берёзовая Слобода, Студеное;Вологда (ул. Зосимовская, Чехова, М.Ульяновой, С.Орлова, Чернышевского),  АД М8, АД Чекшино-Тотьма-Никольск,АД Тотьма-Нюксеница-Великий Устюг, АД Урень-Шарья-Никольск-Котлас, В.Устюг (ул. Песочная, Транспортная);475,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;9;0 - 5;25.07.2016;ООО "Авто-Экспресс-4";г. Великий Новгород, ул. Студенческая, д. 31;
36;708;Вологда – Верховажье;Кадников Б.Мурга (по треб.) Воздвиженье (по треб.) Алексейцево (по треб.) Глебово (по треб.) отв. Ушкомица Бабино Филинская отв. Алферовская Сямжа Ратино Ширега Великий Двор Жихово отв. Шелота отв. Липки отв. Чушевицы отв. Сметанино ;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. С.Орлова ул. Чернышевского) АД М8 г. Кадников ул. Розы Люксембург АД М8 АД подъезд к с. Верховажье с.Верховажье (ул. Энергетиков ул.Смидовича ул.Большакова ул.Стебнева);233;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.01.2014;ИП Фоминский Виктор Николаевич;Вологодская область, Верховажский район ;
37;708;Верховажье-Вологда;отв. Сметанино, отв. Чушевицы, отв. Липки, отв. Шелота, Жихово, Великий Двор, Ширега,, Ратино, Сямжа, отв. Алферовская, Филинская, Бабино, отв. Ушкомица, Глебово (по треб.) Алексейцево (по треб)Воздвиженье (по треб) Б.Мурга (по треб) Кадников;с. Верховажье (ул. Энергетиков ул.Смидовича ул. Большакова ул.Стебнева) АД подъезд к с. Верховажье АД М8 г. Кадников ул. Розы Люксембург, г. Вологда (ул. Чернышевского, ул. С.Орлова, ул. М.Ульяновой, ул. Герцена, ул. Зосимовская);233;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;18.09.2015;ИП Мызин Артем Александрович;Вологодская область, Верховажский район ;
38;709;Вологда – Вохтога;Заря Грязовец Останино Рылово Дворищи Рамешки Меленка Суворково Жорнохово Раково Лихушино Медведево - 1 Рогозино Лебзунка Анохино Раменье Левино Ильинское Тимошкино Сидорово ;г. Вологда (ул. Зосимовсая ул. Чехова ул. Яшина ул. Герцена ул. Можайского ул. Московское шоссе) АД Вологда  Ростилово г. Грязовец (пр.Ленина ул. Обнорского ул. Победы ул. К. Маркса ул. Комсомольская ул. Советская) АД Грязовец-Вохтога п.Вохтога ул. Линейная;103,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.01.2014;ООО "Междуречье Авто";Вологодская область, Междуреченский район, с. Шуйское, ул. Советская, д.51;
39;710;Вологда – Вытегра;отв. Молочное Кашкалино Новленское Березники Нефедово Н.Торжог отв. Кириллов отв. Ферапонтово Новостройка Пономарево Павлово-2 Липин Бор Н.Вашки Скоково Чесноково Кононово Первомайский Андреевское Еськино Остров Матвеевская Ивановская Зуево Прокшино Чер. Слобода отв. Мирный Рюмино отв. Анненский Мост Павшозеро Белы Ручей Девятины Озерки Белоусово Шестово ;г. Вологда (ул. Зосимовская ул. Герцена ул. Октябрьская ул. Пролетарская пр. Победы ул. Клубова) АД А119  АД подъезд к с. Липин Бор с.Липин Бор  ул. Первомайская АД поъезд к с. Липин Бор АД А 119 г. Вытегра (Архангельский тракт пр. Ленина ул. Луначарского);336,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус ;М С Б;1;0 - 5;01.01.2014;ИП Водомерова Наталья Сергеевна ;г. Вологда;
40;710;Вологда – Вытегра;отв. Молочное Кашкалино Новленское Березники Нефедово Н.Торжог отв. Кириллов отв. Ферапонтово Новостройка Пономарево Павлово-2 Липин Бор Н.Вашки Скоково Чесноково Кононово Первомайский Андреевское Еськино Остров Матвеевская Ивановская Зуево Прокшино Чер. Слобода отв. Мирный Рюмино отв. Анненский Мост Павшозеро Белы Ручей Девятины Озерки Белоусово Шестово ;г. Вологда (ул. Зосимовская ул. Герцена ул. Октябрьская ул. Пролетарская пр. Победы ул. Клубова) АД А119  АД подъезд к с. Липин Бор с.Липин Бор  ул. Первомайская АД поъезд к с. Липин Бор АД А 119 г. Вытегра (Архангельский тракт пр. Ленина ул. Луначарского);336,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.06.2014;ИП Водомерова Наталья Сергеевна ;г. Вологда;
41;710;Вытегра – Вологда;Шестово Белоусово Озерки Девятины Белый ручей о. Павшозеро о. Аненский Мост  Рюмин о. Мирный Черная Слобода Прокшино Зуево Ивановская Матвеевская остров Еськино Андреевское первомайский Кононово Чесновово Скоково  Н. Вашки Липин Бор Павлово Пономарево Новостройка о. Ферапонтово о. Кириллов Никольский Торжок Нефедово Березники Новленское Кашкалино Молочное ;г. Вытегра (ул. Луначарского пр. Ленина Архангельсий тракт) АД А 119 АД подъезд к с. Липин Бор с.Липин Бор  ул. Первомайская АД поъезд к с. Липин Бор АД А 119 г. Вологда (ул. Клубова пр. Победы ул. Мальцева ул. Октябрьская ул. Мира) ;336,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус ;М С Б;3;0 - 5;01.08.2011;ООО «Вытегорское ПАТП» ;г. Вытегра Ленинградский тракт 30;
42;711;Кичменгский Городок – Вологда;Никольск, Люльково, село им. Бабушкина, Биряково;с. Кичменгский Городок, АД Урень Шарья Никольск Котлас, АД подъезд к г. Никольск г. Никольск (ул. Конева ул. Кузнецова), АД  Чекшино Тотьма Никольск с. им. Бабушкина (ул. Беляева ул. Бабушкина) АД  Чекшино Тотьма Никольск,  АД М8, г. Вологда (ул. Чернышевского, ул. с.Орлова, ул. Мира, пл. Бабушкина);486,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;5;0 - 5;25.07.2016;ООО "Авто-Экспресс-4";г. Великий Новгород, ул. Студенческая, д. 31;
