Рег. номер маршрута  ;порядковый номер маршрута;наименование маршрута ;наименования промежуточных остановочных пунктов по маршруту регулярных перевозок или наименования поселений, в границах которых расположены промежуточные остановочные пункты ; наименования улиц, автомобильных дорог, по которым предполагается движение транспортных средств между остановочными пунктами по маршруту регулярных перевозок;протяженность маршрута регулярных перевозок, км; порядок посадки и высадки пассажиров (только в установленных остановочных пунктах или, если это не запрещено настоящим Федеральным законом, в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок) ; вид регулярных перевозок (по регулируемым тарифам или по нерегулируемым тарифам);Вид;Класс;Максимальное количество;Экологические характеристики;дата начала осуществления регулярных перевозок ;наименование юридического лица, фамилия, имя и, если имеется, отчество индивидуального предпринимателя;место нахождения ;
95;748;Череповец – Сыромяткино;Дор Демидово Дачи Дьяконовское Льнозавод Шексна  Перхино  Чуровское  дер.Чуровское  Починок-1  Кусты  Гаврилово  Игай  Чаромское  Починок-2  Княже  Кощеево  Киселево  Овинец  Сизьма  Еремино  ;г Череповец (ул.М.Горького ул.Комсомольская  ул.Добролюбова  ул.Школьная  Кирилловское шоссе)  АД  А-114  АД  Шексна – Сизьма  АД Сизьма Сыромяткино  ;90,3;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С Б;3;0 - 5;01.01.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
96;749;Череповец – Талицы;Воскресенское  Ивановское  Брод  Надпорожье  Галинское Крапивино  Шиндалово  Кириллов  Борбушино Мост  Никольский Торжок  Алексеево  Паунино  Кудрявцево  Пески  Нефедово  Каталовское  Малашково  Омогаево  Тетрюмово Михалево  Колкач  Погорелка  Сущево  Сидоровское;г. Череповец (ул.М.Горького ул.Комсомольская ул.Добролюбова ул.Школьная Кирилловское шоссе) АД А-114  АД   Череповец – Белозерск – Липин Бор АД  Воскресенское – Иванов Бор Кириллов г. Кириллов (ул.Строителей ул.Белозерская  ул. Гагарина  Базарная ул. ул.Гагарина  ул.Преображенского) АД  подъезд к г.Кириллов АД А-119  АД  Первомайское – Ягрыш – Колкач  АД Никольский Торжок – Талицы;176;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;3;0 - 5;01.01.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
97;750;Череповец – Устюжна;Развязка Суда – Владимировка – Хохлово – отворотка Елехово – Песье – развязка Кисово – Чаево – Миндюкино – отворотка Гришкино – Глины – Староречье – Колоколец – Ванское – Попчиха – Лентьево – Громошиха – Огибь – Порослово;ул.М.Горького, ул.Комсомольская – ул.Добролюбова – ул.Школьная – Кирилловское шоссе – автодорога А-114 Вологда – Новая Ладога федерального значения – подъезд к г.Устюжна III категории – Комсомольский пер. – Коммунистический пер;132,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;3;0 - 5;01.01.2014;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
98;750;Устюжна - Череповец;Порослово Огибь Громошиха  Лентьево Попчиха Ванское  Колоколец   Староречье  Глины    Гришкино (отв.)  Миндюкино   Чаево Кисово (разв.) Песье Елехово (отв.)  Исток    Хохлово   Владимировка   р. Суда ;Устюжна (пер. Коммунистический, пер. Комсомольский) АД подъезд к г. Устюжна, АД А-114 (Вологда - Новая Ладога), г. Череповец (Кирилловское шоссе, ул. Комсомольская, ул. Вологодская);132,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.02.2014;Устюженское МУПАТП; Вологодская обл., г. Устюжна, пер. Красный, д.44;
99;751;Череповец – Чагода ;Череповец, Чаево, Попчиха, Лентьево, Орел, Горка, Мочало, Логиново, Мезга, Долоцкое, Савино, Н.Деревня, Черенское, Покровское, Залужье, Кобожа, Мордас, Колобово, Березье, Сазоново, Чагода ;Череповец (ул. М.Горького, Комсомольская, добролюбова, Школьная, Кирилловское шоссе), подъезд к г. Череповцу, АД А114, подъезд к п. Чагода;215;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;1;0 - 5;01.02.2014;МУП «Автоколонна № 1456»  ;г.Череповец, ул.Боршодская, 12;
100;751;Чагода – Череповец;Чагода Сазоново Березье Колобово Мардас Кобожа Залужье Покровское Черенское Н.Деревня Савино Долоцкое Мезга Логиново Мочало Горка Орёл Лентьево Чаево Хохлово Владимировка Череповец ;Чагода :(ул.Кооперативная, ул.Коллективая, ж/д Переулок) АД  подъезд к п. Чагода-АД А 114 г. Череповец (Кириловское шоссе, ул.Школьная, ул.Добролюбова, ул.Комсомольская, ул.Максима Горького);215;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5; 01.02.2014;ООО «АТП – Чагода» ; Вологодская обл., п. Чагода, ул. Воззвания, д. 21-А;
101;752;Череповец – Шола;Аннино  Дачи Пахотино  Великая  Якутино  Паньково  Бечевинка  отворотка Кема  Новишки  Перховта  Антушево  Емельяновская  Верх.Мондома  Дресвянка  Ульянкино  Артюшино  Буброво  Чирок  Лохта  Перкумзь  Юрино  Городище ;г. Череповец (ул.М.Горького, ул.Комсомольская ул.Добролюбова  ул.Школьная Кирилловское шоссе) АД  А-114 АД  Череповец – Белозерск – Липин Бор АД отворотка Антушево – Емельяновская АД Белозерск – Карпово – Конец-Мондома АД Перкун – Зубово;184;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С;2;0 - 5;01.02.2014;МУП «Автоколонна № 1456»  ;г.Череповец, ул.Боршодская, 12;
102;755;Вологда – Кадуй;Вологда-Нестерово-р.Чебсорная-Шексна-о.Аэропорт-р.Череповец-Череповец-Шухободь-Нелазское-р.Судская-Владимировка-Кривец-Заозерье-Кадуй;г. Вологда (пл.Бабушкина Пошехоское шоссе ул.Петина ул.Ленинградская Окружное шоссе) НАД А 114  г.Череповец (Кирилловское шоссе ул.Комсомольская ул.Вологодская ул.Горького) АД А 114 АД подъезд к п. Кадуй  п.Кадуй (ул.Вокзальная);172;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.01.2014;ООО «ВПБА Автобус» ; г.Вологда ул.Чернышевского д.147;
103;760;Чагода – Устюжна;Чагода Сазоново Харчиха Избоищи Кобожа Залужье Покровское Черенское Н.Деревня Савино Долоцкое Мезга Логиново Мочало Горка Орёл Устюжна;п. Чагода (ул.Кооперативная  ул.Коллективая ж/д Переулок) АД подъезд к п. Чагода   АД А 114  АД подъезд к г. Устюжна г. Устюжна (пер.Коммунистический);121.3;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;;0 - 5;;;;
104;761;Вологда – Тарнога;Кадников Б. Мурга Воздвиженье Алексейцево Глебово Пирогово-2 Корино Воробъево Отарово Чучково Завражье Семеново Биряково Погорело-2 Екимиха Тотьма Медведово-2 Камчуга Михайловка Коченьга Пески-2 Сергиевская отв. Тарнога Маркуша;г. Вологда (ул. Зосимовская ул. Герцена ул. М.Ульяновой ул. Орлова ул. Чернышевского) АД М8  г. Кадников ул. Розы Люксембург АД  Чекшино Тоьма Никольск г. Тотьма (Савино ул. Ленина) АД Тотьма-Нюксеница-Великий Устюг подъезд к с. Тарнога с.Тарнога (ул. Пограничная ул. Красная ул. Советская) ;339,1;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;2;0 - 5;01.01.2014;ИП Водомерова Наталья Сергеевна ;г. Вологда;
