Код;Адрес МКД;Документ,подтверждающий признание МКД аварийным, номер;Документ,подтверждающий признание МКД аварийным, дата;Планируемая дата окончания переселения;Планируемая дата сноса/реконструкции  МКД;Число жителей всего, чел;Число жителей планируемых к переселению, чел;Общая площадь жилых помещений МКД, кв м;Количество расселяемых жилых помещений, ед;Расселяемая площадь жилых помещений, кв м
177;г Серов ул Короленко д.57/59;Актмежведомственной комиссии № 68;2011-08-31;4.2015;2.2016;30;30;180.5000;6;180.5000
178;г Серов ул Короленко д.61/63;Акт межведомственной комиссии № 69;2011-08-31;4.2015;2.2016;30;30;199.9000;7;199.9000
179;г Серов ул Огородная 1-я д.1 А;Акт межведомственной комиссии № 56;2011-08-31;4.2015;2.2016;16;16;136.1000;6;136.1000
180;г Серов ул Огородная 1-я д.1 Б;Акт межведомственной комиссии № 57;2011-08-31;4.2015;2.2016;10;10;55.8000;3;55.8000
181;г Серов ул Подгорная д.2 А;Акт межведомственной комиссии № 60;2011-08-31;4.2015;2.2016;13;13;82.6000;3;82.6000
182;г Серов ул Розы Люксембург д.71;Акт межведомственной комиссии № 88;2011-09-01;4.2015;2.2016;13;13;120.3000;3;120.3000
183;п Луговской ул 8 Марта д.16;Заключение межведомственной комиссии № 19;2011-12-27;4.2015;3.2016;7;7;78.4000;4;78.4000
184;п Луговской ул 8 Марта д.18;Заключение межведомственной комиссии № 20;2011-12-27;4.2015;3.2016;8;8;78.7000;4;78.7000
185;п Луговской ул 8 Марта д.20;Заключение межведомственной комиссии № 21;2011-12-27;4.2015;3.2016;4;4;77.5000;4;77.5000
186;п Луговской ул 8 Марта д.22;Заключение межведомственной комиссии № 22;2011-12-27;4.2015;3.2016;8;8;79.2000;4;79.2000
187;п Луговской ул Железнодорожная д.43;Заключение межведомственной комиссии № 23;2011-12-27;4.2015;3.2016;6;6;84.4000;2;84.4000
188;п Юшала ул Железнодорожная д.21;Заключение межведомственной комиссии № 16;2011-12-27;4.2015;4.2016;10;10;172.5400;6;172.5400
189;п Юшала ул Железнодорожная д.25;Заключение межведомственной комиссии № 17;2011-12-27;4.2015;4.2016;6;6;106.9000;3;106.9000
190;п Юшала ул Железнодорожная д.37;Заключение межведомственной комиссии № 18;2011-12-27;4.2015;4.2016;5;5;56.0000;3;56.0000
191;рп Тугулым ул Федюнинского д.26;Заключение межведомственной комиссии № 4;2011-12-27;4.2015;4.2016;4;4;117.5000;3;117.5000
192;п Шамары ул Гагарина д.11;Акт и заключение межведомственной комиссии № 52;2009-12-04;4.2015;2.2016;16;16;354.4000;9;354.4000
193;п Шамары ул Гагарина д.15;Акт и заключение межведомственной комиссии № 51;2009-12-04;4.2015;2.2016;11;11;364.4000;8;364.4000
194;п Шамары ул Гагарина д.4;Акт и заключение межведомственной комиссии № 59;2009-12-04;4.2015;2.2016;16;16;182.7000;10;182.7000
195;рп Шаля ул Гоголя д.1 литера а;Акт и заключение межведомственной комиссии № 94;2009-12-04;4.2015;2.2016;16;16;361.3000;9;361.3000
196;рп Шаля ул Кирова д.45;Акт и заключение межведомственной комиссии № 49;2009-12-04;4.2015;2.2016;5;5;158.8000;4;158.8000
197;рп Шаля ул Кирова д.55;Акт и заключение межведомственной комиссии № 75;2009-12-04;4.2015;2.2016;6;6;94.4000;2;94.4000
198;рп Шаля ул Кирова д.78;Акт и заключение межведомственной комиссии № 77;2009-12-04;4.2015;2.2016;9;9;112.0000;4;112.0000
199;рп Шаля ул Ленина д.15;Акт и заключение межведомственной комиссии № 100;2009-12-04;4.2015;2.2016;15;15;298.1000;6;298.1000
200;рп Шаля ул Ленина д.27;Акт и заключение межведомственной комиссии № 101;2009-12-04;4.2015;2.2016;8;8;128.8000;5;128.8000
201;рп Шаля ул Ленина д.33;Акт и заключение межведомственной кмиссии № 103;2009-12-04;4.2015;2.2016;11;11;151.1000;5;151.1000
202;рп Шаля ул Ленина д.39;Акт и заключение межведомственной комиссии № 104;2009-12-04;4.2015;2.2016;6;6;177.7000;4;177.7000
203;рп Шаля ул Ленина д.41;Акт и заключение межведомственной комиссии № 47;2009-12-04;4.2015;2.2016;11;11;152.4000;6;152.4000
204;рп Шаля ул Ленина д.45;Акт и заключение межведомственной комиссии № 106;2011-12-28;4.2015;2.2016;16;16;194.0000;6;194.0000
205;рп Шаля ул Ленина д.5;Акт и заключение межведомственной комиссии № 97;2009-12-04;4.2015;2.2016;9;9;163.7000;6;163.7000
206;рп Шаля ул Ленина д.7;Акт и заключение межведомственной комиссии № 96;2009-12-04;4.2015;2.2016;5;5;181.4000;4;181.4000
207;рп Шаля ул Ленина д.9;Акт и заключение межведомственной комиссии № 98;2009-12-04;4.2015;2.2016;3;3;182.3000;3;182.3000
208;рп Шаля ул Свердлова д.14;Акт и заключение межведомственной комиссии № 110;2011-12-28;4.2015;2.2016;7;7;151.1000;4;151.1000
209;рп Шаля ул Свердлова д.48;Акт и заключение межведомственной комиссии № 86;2009-12-04;4.2015;2.2016;35;35;541.1000;12;541.1000
210;рп Шаля ул Свердлова д.50;Акт и заключение межведомственной комиссии № 87;2009-12-04;4.2015;2.2016;19;19;544.3000;12;544.3000
